TamanoMatriz;Procesos;Tiempo
6500;12;0.140837
12900;2;0.913327
6700;10;0.134813
6700;12;0.144136
12900;4;0.568556
6900;10;0.142055
6900;12;0.148440
12900;6;0.508477
12900;8;0.443709
7100;10;0.148712
7100;12;0.154234
13100;2;0.958492
7300;10;0.160187
7300;12;0.163454
13100;4;0.600103
13100;6;0.507002
7500;10;0.163171
7500;12;0.169205
13100;8;0.454641
7700;10;0.169154
7700;12;0.179435
13300;2;1.053244
13300;4;0.638052
7900;10;0.178104
7900;12;0.184398
13300;6;0.537342
8100;10;0.186544
8100;12;0.190040
13300;8;0.470499
13500;2;1.071446
8300;10;0.197694
8300;12;0.194686
13500;4;0.668398
8500;10;0.205290
8500;12;0.200387
13500;6;0.553598
13500;8;0.484104
8700;10;0.212043
8700;12;0.209902
13700;2;1.072133
13700;4;0.648565
8900;10;0.217959
8900;12;0.215226
13700;6;0.568728
13700;8;0.494115
9100;10;0.227864
9100;12;0.225048
9300;10;0.238114
9300;12;0.231722
9500;10;0.243189
9500;12;0.243673
9700;10;0.254266
9700;12;0.258940
100;14;0.021557
100;16;0.045064
100;20;0.019511
100;18;0.022601
300;14;0.031895
300;16;0.058111
300;20;0.027178
300;18;0.031204
9900;10;0.267562
9900;12;0.263161
500;16;0.033603
500;14;0.031950
500;18;0.035535
500;20;0.034517
700;16;0.036426
700;14;0.055572
700;18;0.035803
700;20;0.031994
900;14;0.055375
900;16;0.071610
900;18;0.055470
900;20;0.053127
1100;14;0.057680
1100;16;0.067569
1100;20;0.054500
1100;18;0.056600
1300;14;0.058908
1300;16;0.083852
1300;20;0.053622
1300;18;0.056258
1500;14;0.059942
1500;16;0.056244
1500;20;0.053961
1500;18;0.056075
1700;14;0.060138
1700;16;0.060603
1700;18;0.046687
1700;20;0.054104
1900;14;0.061981
1900;16;0.060241
1900;18;0.057020
1900;20;0.056311
2100;14;0.064922
2100;16;0.059994
2100;18;0.057353
2300;14;0.064615
2100;20;0.055699
2300;16;0.060887
2300;18;0.059697
2500;14;0.066510
2300;20;0.058191
2500;16;0.077548
2500;18;0.059485
2700;14;0.066694
10100;10;0.280108
2500;20;0.056903
2700;16;0.068253
2700;18;0.058994
2900;14;0.069312
10100;12;0.271627
2700;20;0.057658
2900;16;0.063582
2900;18;0.059489
3100;14;0.070114
2900;20;0.057730
3100;16;0.063524
3100;18;0.058356
3300;14;0.071264
3100;20;0.057596
3300;16;0.069824
3300;18;0.048280
3500;14;0.075483
3300;20;0.058750
3500;16;0.073327
3500;18;0.065834
3700;14;0.074471
3500;20;0.059468
3700;16;0.068047
3700;18;0.059389
3900;14;0.080760
3700;20;0.060168
