TamanoMatriz;Procesos;Tiempo
14900;10;1.461863
13500;26;1.240277
12100;42;1.094961
12300;36;0.996059
14900;12;1.453229
13100;32;1.127285
15100;2;2.085861
13100;30;1.125448
15100;4;1.677867
13300;28;1.145292
14900;14;1.450641
13300;34;1.158591
13700;24;1.221652
15100;6;1.584423
14500;18;1.358374
14900;16;1.441015
14500;20;1.355091
15100;8;1.523383
14500;22;1.358896
12500;38;1.080607
13700;26;1.281392
15100;10;1.500596
13300;32;1.155961
15100;12;1.492062
13300;30;1.172529
15300;2;2.138948
12300;42;1.129167
13500;28;1.183649
12100;40;1.359384
15300;4;1.720745
13500;34;1.194556
13900;24;1.255684
15100;14;1.483315
12500;36;1.024368
15300;6;1.628608
14700;18;1.394394
14700;20;1.398872
15100;16;1.478599
15300;8;1.566170
14700;22;1.392141
13900;26;1.311546
15300;10;1.542890
13500;32;1.194137
15300;12;1.534148
13500;30;1.193358
15500;2;2.199391
13700;28;1.211964
12700;38;1.109306
15500;4;1.764310
13700;34;1.225141
14100;24;1.286321
15300;14;1.523721
15500;6;1.668564
14900;18;1.430674
12500;42;1.148405
14900;20;1.436876
15300;16;1.521851
12300;40;1.336083
15500;8;1.603861
14900;22;1.425429
14100;26;1.338424
12700;36;1.058159
15500;10;1.579661
13700;32;1.232262
13700;30;1.230170
13900;28;1.247876
15500;12;1.567858
15700;2;2.265140
13900;34;1.262804
15700;4;1.811022
14300;24;1.321249
12900;38;1.136569
15500;14;1.571533
15700;6;1.711509
15100;18;1.472402
15100;20;1.471155
15700;8;1.645954
15500;16;1.550186
15100;22;1.458260
14300;26;1.382183
12700;42;1.173642
13900;32;1.268787
15700;10;1.619096
14100;28;1.279352
13900;30;1.263698
12500;40;1.549018
15900;2;2.316566
15700;12;1.608616
14100;34;1.297020
14500;24;1.361787
15900;4;1.856477
12900;36;1.090459
15900;6;1.756999
15300;18;1.481893
15700;14;1.610433
15300;20;1.506859
15900;8;1.686665
13100;38;1.202172
15700;16;1.599385
15300;22;1.501026
14500;26;1.421238
14300;28;1.312204
14100;32;1.304395
15900;10;1.662399
14100;30;1.302440
16100;2;2.362001
14300;34;1.336453
15900;12;1.649260
14700;24;1.393729
12900;42;1.230050
16100;4;1.897480
12700;40;1.419816
16100;6;1.796853
15500;18;1.546733
15900;14;1.643522
15500;20;1.553425
13100;36;1.126723
16100;8;1.734418
14700;26;1.472359
15500;22;1.544467
15900;16;1.645299
14500;28;1.347917
14300;32;1.327754
13300;38;1.198113
14300;30;1.335988
16100;10;1.699628
14500;34;1.369117
16300;2;2.426553
14900;24;1.437646
16100;12;1.691488
16300;4;1.939967
16300;6;1.843066
15700;18;1.587656
13100;42;1.237078
16100;14;1.690326
15700;20;1.589787
16300;8;1.772387
14900;26;1.504418
14700;28;1.395103
15700;22;1.582276
16100;16;1.677436
12900;40;1.466554
14500;32;1.375036
14500;30;1.386145
16300;10;1.738590
13300;36;1.156719
14700;34;1.406843
15100;24;1.481575
16500;2;2.521210
16300;12;1.734607
16500;4;2.000582
13500;38;1.307671
16500;6;1.885336
15900;18;1.625400
16300;14;1.730931
15900;20;1.628074
14900;28;1.426525
16500;8;1.812248
15100;26;1.544314
15900;22;1.617458
14700;32;1.410975
16300;16;1.722596
13300;42;1.251135
14700;30;1.411804
14900;34;1.444235
15300;24;1.508765
16500;10;1.782702
16700;2;2.573792
16500;12;1.777838
13100;40;1.512762
16700;4;2.036556
13500;36;1.191027
16700;6;1.930120
16100;18;1.659316
13700;38;1.275006
16500;14;1.759335
15100;28;1.461281
16100;20;1.666927
16700;8;1.857767
15300;26;1.578889
16100;22;1.660900
14900;32;1.449616
14900;30;1.451024
16500;16;1.765675
15100;34;1.483962
15500;24;1.550680
16700;10;1.826111
16900;2;2.639524
13500;42;1.354107
16700;12;1.817034
16900;4;2.090721
16900;6;1.967127
16300;18;1.706894
15300;28;1.507989
13300;40;1.545814
16700;14;1.815070
16300;20;1.714698
16900;8;1.895231
15500;26;1.621563
13900;38;1.305296
15100;32;1.482395
16300;22;1.702913
13700;36;1.226423
15100;30;1.498262
15300;34;1.521823
15700;24;1.585526
16700;16;1.792436
16900;10;1.870352
17100;2;2.705453
16900;12;1.862284
17100;4;2.129624
13700;42;1.344655
17100;6;2.024096
